state,local,mean,q025,q05,q25,q50,q75,q95,q975
Lagos,agege,289449.7823,196861.6,209505.45,249154,281708,320460.75,395992.95,428440.9
Lagos,ajeromi,314222.5886,183500.225,198570.15,252164.5,300170.5,358764.5,475849.55,527268.7
Lagos,alimosho,2079944.1189,1465968.4,1541959.45,1800234,2014101.5,2285089,2819279.45,3090932.85
Lagos,odofin,377541.2873,284024.3,296227.3,333860.75,367006.5,408052.5,493519.25,529741.5
Lagos,apapa,271369.4581,181513.475,193519.35,230253.75,262526,302707.25,377837.3,408702.8
Lagos,badagary,663729.649,482254.65,506667.9,582507.25,645858,722243.5,878426.35,943145.925
Lagos,epe,202902.058,166677.475,171928.8,188280,200855.5,215246,239880.75,250226.5
Lagos,osa,493328.1549,375632.55,392138.9,442284.5,482918.5,531893.5,629193.85,671115.225
Lagos,lekki,302704.1231,251021.95,257799.05,280983.25,299069,321321,357376.55,372105.075
Lagos,ijaye,297182.406,210603.65,221078.85,257812.75,288512,326724.75,398146.8,433548.9
Lagos,ikeja,307583.9476,222982.725,234220.1,269715.5,299768,336795.5,405064.45,436781.2
Lagos,ikorodu,1241907.3153,891911.175,934048.2,1083596.5,1206069,1353844,1669797.7,1789401.7
Lagos,kesofe,489892.8572,359328.525,376877.35,432268.75,478639.5,534111,638899.35,684718.925
Lagos,li,44729.8769,26489.95,28815.45,36212,42778.5,50833.25,67148.3,73879.8
Lagos,lm,269611.8083,181846.25,192737.45,229640,261282.5,299869.5,373197.25,405987.7
Lagos,mushin,350625.5487,215876.625,232765.35,289611.25,338148.5,395560.5,512050.3,556514.1
Lagos,ojo,695867.6416,492006.725,521829.3,605070.5,673620,761034.75,941520.699999999,1015039.95
Lagos,oshodi,557312.4779,389586.75,410339.15,482222,542716.5,613992.75,751632.25,810830.15
Lagos,shomolu,151658.4182,98184.475,105085.4,127617.5,146794,169663.75,212872.9,231933.3
Lagos,surulere,118282.3147,69839.8,75569.75,95543.5,112952.5,134939.25,178012.35,196889.075
